committee_name,election_cycle,count,party
CARSON AMERICA,2022,3,Republican
CARSON AMERICA,2024,3,Republican
CHC BOLD PAC,2016,3,Democrat
CHC BOLD PAC,2018,3,Democrat
CHC BOLD PAC,2020,3,Democrat
CHC BOLD PAC,2022,3,Democrat
CHC BOLD PAC,2024,3,Democrat
COLIN ALLRED FOR SENATE,2016,3,Democrat
COLIN ALLRED FOR SENATE,2018,3,Democrat
COLIN ALLRED FOR SENATE,2020,3,Democrat
COLIN ALLRED FOR SENATE,2022,3,Democrat
COLIN ALLRED FOR SENATE,2024,3,Democrat
CORY BOOKER FOR SENATE,2016,3,Democrat
CORY BOOKER FOR SENATE,2018,3,Democrat
CORY BOOKER FOR SENATE,2020,3,Democrat
CORY BOOKER FOR SENATE,2022,3,Democrat
CORY BOOKER FOR SENATE,2024,3,Democrat
DITCH FUND,2016,3,Democrat
DITCH FUND,2018,3,Democrat
DITCH FUND,2020,3,Democrat
DITCH FUND,2022,3,Democrat
DITCH FUND,2024,3,Democrat
DOUG JONES FOR SENATE COMMITTEE,2016,3,Democrat
DOUG JONES FOR SENATE COMMITTEE,2018,3,Democrat
DOUG JONES FOR SENATE COMMITTEE,2020,3,Democrat
DOUG JONES FOR SENATE COMMITTEE,2022,3,Democrat
DOUG JONES FOR SENATE COMMITTEE,2024,3,Democrat
ELECT DEMOCRATIC WOMEN,2016,3,Democrat
ELECT DEMOCRATIC WOMEN,2018,3,Democrat
ELECT DEMOCRATIC WOMEN,2020,3,Democrat
ELECT DEMOCRATIC WOMEN,2022,3,Democrat
ELECT DEMOCRATIC WOMEN,2024,3,Democrat
END CITIZENS UNITED,2016,3,Democrat
END CITIZENS UNITED,2018,3,Democrat
END CITIZENS UNITED,2020,3,Democrat
END CITIZENS UNITED,2022,3,Democrat
END CITIZENS UNITED,2024,3,Democrat
FAIR FIGHT,2016,3,Democrat
FAIR FIGHT,2018,3,Democrat
FAIR FIGHT,2020,3,Democrat
FAIR FIGHT,2022,3,Democrat
FAIR FIGHT,2024,3,Democrat
GEORGIANS FOR KELLY LOEFFLER,2016,3,Republican
GEORGIANS FOR KELLY LOEFFLER,2018,3,Republican
GEORGIANS FOR KELLY LOEFFLER,2020,3,Republican
GEORGIANS FOR KELLY LOEFFLER,2022,3,Republican
GEORGIANS FOR KELLY LOEFFLER,2024,3,Republican
HEATHER MIZEUR FOR CONGRESS,2016,3,Democrat
HEATHER MIZEUR FOR CONGRESS,2018,3,Democrat
HEATHER MIZEUR FOR CONGRESS,2020,3,Democrat
HEATHER MIZEUR FOR CONGRESS,2022,3,Democrat
HEATHER MIZEUR FOR CONGRESS,2024,3,Democrat
JEFFRIES FOR CONGRESS,2016,3,Democrat
JEFFRIES FOR CONGRESS,2018,3,Democrat
JEFFRIES FOR CONGRESS,2020,3,Democrat
JEFFRIES FOR CONGRESS,2022,3,Democrat
JEFFRIES FOR CONGRESS,2024,3,Democrat
JESSE COLVIN FOR CONGRESS,2016,3,Democrat
JESSE COLVIN FOR CONGRESS,2018,3,Democrat
